Date,Type,Link
2024-02-20 03:16:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7150856245543845888
2024-02-20 03:08:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7165339357585813506
2024-02-19 18:47:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7055764045148094464
2024-02-19 18:45:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7050511508279083008
2024-02-19 13:58:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165325477866328066
2024-02-19 13:58:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165289035446337536
2024-02-19 13:58:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165271698131415041
2024-02-19 13:57:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7165217678373183489
2024-02-18 18:56:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7164590555140747264?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7164590555140747264%2C7165036215921037312%29
2024-02-18 16:45:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7165020074565652480
2024-02-18 16:45:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6666650-7164651462738886656
2024-02-17 11:46:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7164516696647553025
2024-02-17 04:52:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7163465692942462976
2024-02-17 04:51:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7164462166065004544
2024-02-17 04:51:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7164458744066646016
2024-02-17 04:49:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7164431795688595456
2024-02-16 14:01:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7164256553812840448
2024-02-16 11:18:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7164053269261082624
2024-02-16 11:03:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7164072631141425153
2024-02-16 07:07:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7164063334743334912
2024-02-15 11:43:33,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163791896417296384
2024-02-15 09:12:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7163744811278163968?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7163744811278163968%2C7163821697287086081%29
2024-02-15 08:28:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7163729971465637888
2024-02-15 08:28:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163755460859289600
2024-02-15 04:09:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7161704982403043328
2024-02-15 04:09:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7162797091600150528
2024-02-14 15:05:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A8256390-7163477850677792770
2024-02-14 15:05:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163518820286971904
2024-02-14 03:51:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7163200228941066241?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7163200228941066241%2C7163370417695473664%29
2024-02-14 03:50:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163188990676828160
2024-02-13 05:23:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7160647750097768449
